ymd,open,high,low,close,volume,change_rate,trading_value,trading_value_institution,trading_value_other_corporation,trading_value_individual,trading_value_foreign,volume_institution,volume_other_corporation,volume_individual,volume_foreign,sma_5,ema_5,sma_20,ema_20,sma_60,ema_60,sma_120,ema_120,sma_240,ema_240,sma_480,ema_480,RSI,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,obv,mfi,fib_0,fib_23.6,fib_38.2,fib_50,fib_61.8,fib_100,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span,cci,vwap,atr,adx,pivot,r1,s1,r2,s2,avg_volume_5,avg_trading_value_5
2023-02-02,9470.0,9510.0,9370.0,9480.0,118690.0,0.5302226935312832,1125.1812,18369270,56500580,-412218770,337348920,1954,5980,-43715,35781,9382.0,9394.741498010962,9333.5,9347.172335600908,,,,,,,,,53.09061030416108,,,,9529.99681931268,9333.5,9137.00318068732,79.45874001774622,68.20960268165237,605890.0,50.61532286598492,11070.0,9807.4,9026.3,8395.0,7763.7,5720.0,9280.0,,,,8640.0,136.95420660276895,9342.807109607671,142.9117841079857,,9453.333333333334,9536.666666666668,9396.666666666668,9593.333333333334,9313.333333333334,71790.8,674.760078
2023-02-03,9470.0,9500.0,9390.0,9400.0,52676.0,-0.8438818565400843,495.1544,19873390,0,-48483000,28609610,2107,0,-5153,3046,9404.0,9396.494332007309,9337.0,9352.203541734154,,,,,,,,,48.45694249432598,,,,9535.605135885253,9337.0,9138.394864114747,82.3720792664892,76.39258601991521,553214.0,52.889752611426076,11070.0,9807.4,9026.3,8395.0,7763.7,5720.0,9340.0,,,,8370.0,113.77497371188113,9344.339570622986,140.56094238598672,,9430.0,9470.0,9360.0,9540.0,9320.0,71224.6,670.658952
2023-02-06,9400.0,9440.0,9310.0,9430.0,60587.0,0.3191489361702127,571.33541,164116860,49723380,-220786500,6946260,17467,5301,-23507,739,9424.0,9407.662888004872,9341.0,9359.612728235663,,,,,,,,,50.21183004250488,,,,9543.672149048654,9341.0,9138.327850951346,84.05797101449275,81.96293009957607,613801.0,55.161136789395016,11070.0,9807.4,9026.3,8395.0,7763.7,5720.0,9355.0,,,,8420.0,73.43283582089555,9346.900584997324,139.80658935841623,,9393.333333333334,9476.666666666668,9346.666666666668,9523.333333333334,9263.333333333334,70239.4,662.678776
2023-02-07,9450.0,9590.0,9400.0,9570.0,124238.0,1.4846235418875928,1188.95766,1414570,19110,-65429130,63995450,150,2,-6925,6773,9462.0,9461.775258669915,9349.0,9379.649611260838,,,,,,,,,57.486273234363075,,,,9573.401426020424,9349.0,9124.598573979576,84.99731615673643,83.80912214590614,738039.0,64.22108351065336,11070.0,9807.4,9026.3,8395.0,7763.7,5720.0,9405.0,,,,8330.0,141.41414141414103,9359.787956999045,143.39183297567223,,9520.0,9640.0,9450.0,9710.0,9330.0,84094.8,797.363472
2023-02-08,9570.0,9580.0,9440.0,9480.0,118476.0,-0.9404388714733543,1123.15248,-15291180,-5191790,92684350,-72201380,-1622,-544,9737,-7571,9472.0,9467.85017244661,9348.5,9389.20679114076,,,,,,,,,52.205593953834885,,,,9571.683780772708,9348.5,9125.316219227292,86.17820719269993,85.07783145464305,619563.0,60.36073134138638,11070.0,9807.4,9026.3,8395.0,7763.7,5720.0,9415.0,9370.0,,,8430.0,107.07070707070767,9366.064231790762,143.14955919169566,,9500.0,9560.0,9420.0,9640.0,9360.0,94933.4,900.75623
2023-02-09,9500.0,9530.0,9440.0,9490.0,79781.0,0.10548523206751054,757.12169,100667070,0,-190962210,90295140,10642,0,-20195,9553,9474.0,9475.23344829774,9353.5,9398.80614436545,,,,,,,,,52.72522759248963,,,,9584.521644007657,9353.5,9122.478355992343,85.80246913580244,85.65933082841293,699344.0,59.798130433558626,11070.0,9807.4,9026.3,8395.0,7763.7,5720.0,9435.0,9330.0,,,8460.0,86.49080735411613,9370.27356321839,139.35316210657453,,9486.666666666666,9533.333333333332,9443.333333333332,9576.666666666666,9396.666666666666,87151.6,827.144328
2023-02-10,9510.0,9520.0,9330.0,9430.0,74148.0,-0.6322444678609063,699.21564,129050040,5268460,44417900,-178736400,13731,562,4686,-18979,9480.0,9460.155632198494,9351.5,9401.776987759216,,,,,,,,,49.26433034006791,,,,9579.120297864667,9351.5,9123.879702135333,74.33862433862431,82.1064335557089,625196.0,62.77976147379398,11070.0,9807.4,9026.3,8395.0,7763.7,5720.0,9435.0,9320.0,,,8550.0,37.592592592593,9372.101184079553,142.97079338467634,15.838679364382502,9426.666666666666,9523.333333333332,9333.333333333332,9616.666666666666,9236.666666666666,91446.0,867.9565759999999
2023-02-13,9430.0,9460.0,9360.0,9430.0,92591.0,0.0,873.13313,265712550,0,-240594440,-25118110,28210,0,-25576,-2634,9480.0,9450.103754798996,9353.0,9404.46489368691,,,,,,,,,49.264330340067914,,,,9582.268401660587,9353.0,9123.731598339413,67.45353412020076,75.86487586487584,625196.0,55.65837920103716,11070.0,9807.4,9026.3,8395.0,7763.7,5720.0,9450.0,9320.0,,,8400.0,21.76165803108871,9374.232132188594,139.9014510000566,15.19503506716025,9416.666666666666,9473.333333333332,9373.333333333332,9516.666666666666,9316.666666666666,97846.8,928.3161200000001
2023-02-14,9490.0,9520.0,9360.0,9400.0,153609.0,-0.3181336161187699,1443.9246,173601490,471000,-24801860,-149270630,18473,50,-2569,-15954,9446.0,9433.402503199331,9356.5,9404.03966571673,,,,,,,,,47.4579123729821,,,,9586.393453582306,9356.5,9126.606546417694,56.50925650925649,66.1004716560272,471587.0,58.92582423027181,11070.0,9807.4,9026.3,8395.0,7763.7,5720.0,9450.0,9320.0,,,8270.0,22.093918398767947,9375.714957360375,141.3370616429097,14.222360578758247,9426.666666666666,9493.333333333332,9333.333333333332,9586.666666666666,9266.666666666666,103721.0,979.3095079999999
2023-02-15,9400.0,9410.0,9240.0,9270.0,90373.0,-1.3829787234042552,837.75771,162872140,9270,50716980,-213598390,17430,1,5444,-22875,9404.0,9378.935002132888,9353.0,9391.273983267518,,,,,,,,,40.523640087378624,,,,9585.903413457167,9353.0,9120.096586542833,38.73147873147871,54.231423120311995,381214.0,52.8124490480717,11070.0,9807.4,9026.3,8395.0,7763.7,5720.0,9415.0,9320.0,,,8200.0,-127.69776664579643,9372.253093700414,143.38441438270186,14.145183110158996,9306.666666666666,9373.333333333332,9203.333333333332,9476.666666666666,9136.666666666666,98100.4,922.2305540000001
